,,,,,,,,,,,,,,,,,,,,,,,,,,
自動,自動,買受・委託,自動,,手動,自動,,手動,,,,,自動,売却,自動,ebay,自動,,,,,,,,,手動
,20260417_miyawaki_ph_04,買受,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,仕入れ無,,,,,,,2026/4/20,売却,"₱8,569.00",shopee,ORDER0071,フィリピン,buyer_0051,買主サンプル0072,City0072,Region0072,Postal0072,Address line 1 sample 0072,Address line 2 sample 0072,
2026/4/21,20260417_miyawaki_ph_04,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,"¥12,700 ",yahooフリマ,,,,,,2026/4/20,売却,"₱8,569.00",shopee,ORDER0072,フィリピン,buyer_0052,買主サンプル0073,City0073,Region0073,Postal0073,Address line 1 sample 0073,Address line 2 sample 0073,
2026/4/22,20260119_machida_ph_03,買受,掛け時計,"Seiko Wall Clock – Musical Motion Clock, Radio-Controlled RE576A (Analog / Triple-Selection Melody / Rotating Ornaments / Ivory Marble",1,"¥20,800 ",Amazon,,,,,,2026/4/21,売却,"₱9,893.00",shopee,ORDER0073,フィリピン,buyer_0053,買主サンプル0074,City0074,Region0074,Postal0074,Address line 1 sample 0074,Address line 2 sample 0074,
2026/4/22,20260123_machida_ph_02,買受,掛け時計,Seiko Clock Wall Clock Quartz Clock Mechanical Clock Analog Triple Selection Melody Silver 443×405×97mm RE602S,1,"¥22,000 ",Amazon,,,,,,2026/4/21,売却,"₱11,350.00",shopee,ORDER0073,フィリピン,buyer_0053,買主サンプル0075,City0075,Region0075,Postal0075,Address line 1 sample 0075,Address line 2 sample 0075,
2026/4/22,20260408_mizushima_ph_05,買受,フィギュア,"MIC DiGiSM One and Only ""SLAM DUNK"" Takenori Akagi, approximately 170mm tall, non-scale, PVC + ABS painted finished figure.",1,"¥6,980 ",楽天市場（サンネット商店）,,,,,,2026/4/21,売却,"₱3,442.00",shopee,ORDER0074,フィリピン,buyer_0054,買主サンプル0076,City0076,Region0076,Postal0076,Address line 1 sample 0076,Address line 2 sample 0076,
2026/4/23,20260410_miyawaki_ph_01_3,買受,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,"¥7,400 ",メルカリ,,,,,,2026/4/21,売却,"₱4,823.00",shopee,ORDER0075,フィリピン,buyer_0055,買主サンプル0077,City0077,Region0077,Postal0077,Address line 1 sample 0077,Address line 2 sample 0077,
2026/4/24,20260303_miyawaki_ph_02,買受,フィギュア,Ichiban Kuji JoJo's Bizarre Adventure -THE★JOJO WORLD Jolyne Cujoh Prize F Anime Figure,1,"¥6,690 ",らしんばん,,,,,,2026/4/21,売却,"₱4,093.00",shopee,ORDER0076,フィリピン,buyer_0056,買主サンプル0078,City0078,Region0078,Postal0078,Address line 1 sample 0078,Address line 2 sample 0078,
2026/4/22, 20260422_machida_ph_03,買受,ラジコン,"[Direct From Japan] Wild Willy 2, WR-02 Dual Hunter and other A-parts, 10005713",1,"¥3,156 ",yahooショッピング,,,,,,2026/4/22,売却,"₱2,466.00",shopee,ORDER0077,フィリピン,buyer_0041,買主サンプル0079,City0079,Region0079,Postal0079,Address line 1 sample 0079,Address line 2 sample 0079,
2026/4/23,20260417_miyawaki_ph_04_2,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,"¥13,300 ",yahooフリマ,,,,,,2026/4/22,売却,"₱8,569.00",shopee,ORDER0078,フィリピン,buyer_0057,買主サンプル0080,City0080,Region0080,Postal0080,Address line 1 sample 0080,Address line 2 sample 0080,
2026/4/23,20260219_machida_sg_06,買受,腕時計,Seiko Watch ALBA Ghibli Collaboration Model Kiki's Delivery Service,1,"¥5,420 ",ビックカメラ,,,,,,2026/4/22,売却,SGD85.50,shopee,ORDER0079,シンガポール,buyer_0058,買主サンプル0081,City0081,,,Address line 1 sample 0081,Address line 2 sample 0081,
2026/4/23,20260410_miyawaki_ph_01_4,買受,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,"¥7,030 ",ラクマ,,,,,,2026/4/23,売却,"₱4,823.00",shopee,ORDER0080,フィリピン,buyer_0059,買主サンプル0082,City0082,Region0082,Postal0082,Address line 1 sample 0082,Address line 2 sample 0082,
2026/4/24,20260410_miyawaki_ph_01_5,買受,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,"¥7,611 ",メルカリ,,,,,,2026/4/23,売却,"₱4,823.00",shopee,ORDER0081,フィリピン,buyer_0060,買主サンプル0083,City0083,Region0083,Postal0083,Address line 1 sample 0083,Address line 2 sample 0083,
2026/4/24,20260402_miyawaki_ph_01,買受,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZED Prize C Figure,1,¥713 ,yahooフリマ,,,,,,2026/4/23,売却,"₱2,318.00",shopee,ORDER0082,フィリピン,buyer_0060,買主サンプル0084,City0084,Region0084,Postal0084,Address line 1 sample 0084,Address line 2 sample 0084,
2026/4/24,20260417_miyawaki_ph_04_3,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,"¥13,400 ",yahooフリマ,,,,,,2026/4/23,売却,"₱8,569.00",shopee,ORDER0083,フィリピン,buyer_0061,買主サンプル0085,City0085,Region0085,Postal0085,Address line 1 sample 0085,Address line 2 sample 0085,
2026/4/24,20260123_machida_ph_04_4,買受,ラジコン,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,1,"¥11,000 ",Amazon,,,,,,2026/4/24,売却,"₱7,234.00",shopee,ORDER0084,フィリピン,buyer_0062,買主サンプル0086,City0086,Region0086,Postal0086,Address line 1 sample 0086,Address line 2 sample 0086,
2026/4/24,20260417_miyawaki_ph_04_4,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,"¥12,900 ",yahooフリマ,,,,,,2026/4/24,売却,"₱8,569.00",shopee,ORDER0085,フィリピン,buyer_0063,買主サンプル0087,City0087,Region0087,Postal0087,Address line 1 sample 0087,Address line 2 sample 0087,
2026/4/24,20260415_miyawaki_ph_03_4,買受,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,600 ",yahooフリマ,,,,,,2026/4/24,売却,"₱4,559.00",shopee,ORDER0086,フィリピン,buyer_0064,買主サンプル0088,City0088,Region0088,Postal0088,Address line 1 sample 0088,Address line 2 sample 0088,
2026/5/1,20260410_miyawaki_ph_01_6 ,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,1,"¥7,599 ",メルカリ,,,,,,2026/4/24,売却,"₱4,823.00",shopee,ORDER0087,フィリピン,buyer_0065,買主サンプル0089,City0089,Region0089,Postal0089,Address line 1 sample 0089,Address line 2 sample 0089,
2026/4/27,20260324_machida_ph_02,,ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.336 Hornet,1,"¥7,980 ",Joshin,,,,,,2026/4/25,売却,"₱5,100.00",shopee,ORDER0088,フィリピン,buyer_0066,買主サンプル0090,City0090,Region0090,Postal0090,Address line 1 sample 0090,Address line 2 sample 0090,
2026/4/27,20260422_machida_ph_04,,模型,Takara Tomy (TAKARA TOMY) Tomica Premium NISSAN SPORTS CARS 3 MODELS Collection Die-cast cars Toys For ages 6 and over,1,"¥2,705 ",Amazon,,,,,,2026/4/25,売却,"₱1,896.00",shopee,ORDER0089,フィリピン,buyer_0067,買主サンプル0091,City0091,Region0091,Postal0091,Address line 1 sample 0091,Address line 2 sample 0091,
2026/4/27,20260409_machida_ph_01_4,,ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,1,"¥8,800 ",Amazon,,,,,,2026/4/25,売却,"₱6,694.00",shopee,ORDER0090,フィリピン,buyer_0068,買主サンプル0092,City0092,Region0092,Postal0092,Address line 1 sample 0092,Address line 2 sample 0092,
2026/4/27,20260408_machida_ph_06,,フィギュア,"Kaiyodo Revoltech Amazing Yamaguchi Deadpool Ver. 2.5, approximately 170mm tall",1,"¥10,667 ",Amazon,,,,,,2026/4/26,売却,"₱5,673.00",shopee,ORDER0091,フィリピン,buyer_0069,買主サンプル0093,City0093,Region0093,Postal0093,Address line 1 sample 0093,Address line 2 sample 0093,
,20260407_machida_ph_07,,,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],1,仕入れ無,,,,,,,2026/4/26,売却,"₱2,258.00",shopee,ORDER0092,フィリピン,buyer_0070,買主サンプル0094,City0094,Region0094,Postal0094,Address line 1 sample 0094,Address line 2 sample 0094,
2026/4/27,20260415_miyawaki_ph_03_3,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥7,000 ",メルカリ,,,,,,2026/4/27,売却,"₱4,593.00",shopee,ORDER0093,フィリピン,buyer_0071,買主サンプル0095,City0095,Region0095,Postal0095,Address line 1 sample 0095,Address line 2 sample 0095,
2026/4/27,20260402_miyawaki_ph_01_2,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZED Prize C Figure,1,"¥3,000 ",yahooフリマ,,,,,,2026/4/27,売却,"₱2,318.00",shopee,ORDER0094,フィリピン,buyer_0072,買主サンプル0096,City0096,Region0096,Postal0096,Address line 1 sample 0096,Address line 2 sample 0096,
2026/4/29,20260415_miyawaki_ph_03_5,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,250 ",yahooフリマ,,,,,,2026/4/27,売却,"₱4,593.00",shopee,ORDER0095,フィリピン,buyer_0071,買主サンプル0097,City0097,Region0097,Postal0097,Address line 1 sample 0097,Address line 2 sample 0097,
2026/4/28,20260420_ishida_ph_06,,フィギュア,Nendoroid Blue Archive Ajitani Hifumi Non-scale Plastic Painted Movable Figure,1,"¥7,160 ",Amazon,,,,,,2026/4/28,売却,"₱2,736.00",shopee,ORDER0096,フィリピン,buyer_0073,買主サンプル0098,City0098,Region0098,Postal0098,Address line 1 sample 0098,Address line 2 sample 0098,
2026/4/29,20260302_machida_ph_02,,フィギュア,Jurassic World Hammond Collection Stegosaurus Action Figure Dinosaur Toy,1,"¥4,773 ",Amazon,,,,,,2026/4/28,売却,"₱2,908.00",shopee,ORDER0097,フィリピン,buyer_0074,買主サンプル0099,City0099,Region0099,Postal0099,Address line 1 sample 0099,Address line 2 sample 0099,
2026/4/29,20260318_machida_ph_01_4,,ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],1,"¥11,000 ",Joshin（A）,,,,,,2026/4/28,売却,"₱6,441.00",shopee,ORDER0098,フィリピン,buyer_0048,買主サンプル0100,City0100,Region0100,Postal0100,Address line 1 sample 0100,Address line 2 sample 0100,
2026/4/29,20260423_miyawaki_ph_01,,フィギュア,Ichiban Kuji WIND BREAKER Original 5th Anniversary A Prize: Sakura Haruka Figure,1,"¥4,500 ",yahooフリマ,,,,,,2026/4/28,売却,"₱2,800.00",shopee,ORDER0099,フィリピン,buyer_0075,買主サンプル0101,City0101,Region0101,Postal0101,Address line 1 sample 0101,Address line 2 sample 0101,
2026/4/29,20260422_mizushima_ph_02,,腕時計,[Casio] G-SHOCK Watch [Authentic Japanese Import] GA-100BEG-1AJF Men's Black,1,"¥14,960 ",Amazon,,,,,,2026/4/28,売却,"₱7,853.00",shopee,ORDER0100,フィリピン,buyer_0076,買主サンプル0102,City0102,Region0102,Postal0102,Address line 1 sample 0102,Address line 2 sample 0102,
2026/4/29,20260402_miyawaki_ph_01_3,,フィギュア,chiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,1,"¥2,880 ",メルカリショップ,,,,,,2026/4/28,売却,"₱2,318.00",shopee,ORDER0101,フィリピン,buyer_0077,買主サンプル0103,City0103,Region0103,Postal0103,Address line 1 sample 0103,Address line 2 sample 0103,
2026/4/29,20260428_miyawaki_ph_01,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,1,"¥10,333 ",メルカリ,,,,,,2026/4/28,売却,"₱6,433.00",shopee,ORDER0102,フィリピン,buyer_0059,買主サンプル0104,City0104,Region0104,Postal0104,Address line 1 sample 0104,Address line 2 sample 0104,
2026/4/30,20260119_miyawaki_ph_07_3,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,1,"¥7,399 ",メルカリ,,,,,,2026/4/28,売却,"₱4,228.00",shopee,ORDER0103,フィリピン,buyer_0059,買主サンプル0105,City0105,Region0105,Postal0105,Address line 1 sample 0105,Address line 2 sample 0105,
,20260422_ishida_ph_01,,,[BANDAI]GODZIBURST Godzilla(1954),1,仕入れ無,,,,,,,2026/4/28,売却,₱502.00,shopee,ORDER0104,フィリピン,buyer_0078,買主サンプル0106,City0106,Region0106,Postal0106,Address line 1 sample 0106,Address line 2 sample 0106,
2026/4/29,20260410_miyawaki_ph_01_7,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,"¥7,200 ",yahooフリマ,,,,,,2026/4/29,売却,"₱4,823.00",shopee,ORDER0105,フィリピン,buyer_0046,買主サンプル0107,City0107,Region0107,Postal0107,Address line 1 sample 0107,Address line 2 sample 0107,
2026/4/29,20260422_ishida_ph_05,,模型,[BANDAI]GODZIBURST Godzilla(2016),1,¥730 ,Amazon,,,,,,2026/4/29,売却,₱512.00,shopee,ORDER0106,フィリピン,buyer_0079,買主サンプル0108,City0108,Region0108,Postal0108,Address line 1 sample 0108,Address line 2 sample 0108,
,20260422_ishida_ph_02,,模型,[BANDAI]GODZIBURST Godzilla(2004),1,¥691 ,,,,,,,2026/4/29,売却,₱492.00,shopee,ORDER0106,フィリピン,buyer_0079,買主サンプル0109,City0109,Region0109,Postal0109,Address line 1 sample 0109,Address line 2 sample 0109,
,20260423_ishida_ph_05,,模型,[BANDAI]GODZIBURST Mechagodzilla (1993),1,¥730 ,,,,,,,2026/4/29,売却,₱513.00,shopee,ORDER0106,フィリピン,buyer_0079,買主サンプル0110,City0110,Region0110,Postal0110,Address line 1 sample 0110,Address line 2 sample 0110,
,20260423_ishida_ph_02,,模型,[BANDAI]GODZIBURST Mechagodzilla (1974),1,¥694 ,,,,,,,2026/4/29,売却,₱496.00,shopee,ORDER0106,フィリピン,buyer_0079,買主サンプル0111,City0111,Region0111,Postal0111,Address line 1 sample 0111,Address line 2 sample 0111,
,20260423_ishida_ph_03,,模型,[BANDAI]GODZIBURST DX:King Ghidorah (1991),1,"¥1,527 ",,,,,,,2026/4/29,売却,₱915.00,shopee,ORDER0106,フィリピン,buyer_0079,買主サンプル0112,City0112,Region0112,Postal0112,Address line 1 sample 0112,Address line 2 sample 0112,
,20260422_ishida_ph_01,,模型,[BANDAI]GODZIBURST Godzilla(1954),1,¥710 ,,,,,,,2026/4/29,売却,₱502.00,shopee,ORDER0106,フィリピン,buyer_0079,買主サンプル0113,City0113,Region0113,Postal0113,Address line 1 sample 0113,Address line 2 sample 0113,
2026/4/30,20260417_miyawaki_ph_02,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Prize B Yusuke Urameshi MASTERLISE Figure,1,"¥4,726 ",メルカリショップ,,,,,,2026/4/29,売却,"₱2,960.00",shopee,ORDER0107,フィリピン,buyer_0059,買主サンプル0114,City0114,Region0114,Postal0114,Address line 1 sample 0114,Address line 2 sample 0114,
2026/4/30,20260323_machida_ph_01_2,,ラジコン,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,1,"¥13,130 ",Joshin,,,,,,2026/4/29,売却,"₱7,810.00",shopee,ORDER0108,フィリピン,buyer_0026,買主サンプル0115,City0115,Region0115,Postal0115,Address line 1 sample 0115,Address line 2 sample 0115,
2026/4/30,20260401_ishida_ph_01,,フィギュア,[Good Smile Arts Shanghai] Nendoroid Rebirth 1999 X Non-scale Plastic Painted Movable Figure,1,"¥6,710 ",yahooショッピング,,,,,,2026/4/30,売却,"₱3,980.00",shopee,ORDER0109,フィリピン,buyer_0080,買主サンプル0116,City0116,Region0116,Postal0116,Address line 1 sample 0116,Address line 2 sample 0116,
2026/4/30,20260420_mizushima_ph_07,,プラモデル,[Gundam Base / Event Exclusive] MG 1/100 Zaku II Ver.Ka Mechanical Clear Model Kit from Mobile Suit Gundam: Char's Counterattack (Bandai Spirits),1,"¥12,000 ",メルカリ,,,,,,2026/4/30,売却,"₱7,146.00",shopee,ORDER0110,フィリピン,buyer_0081,買主サンプル0117,City0117,Region0117,Postal0117,Address line 1 sample 0117,Address line 2 sample 0117,
2026/4/30,20260402_miyawaki_ph_01_4,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,1,"¥3,500 ",メルカリ,,,,,,2026/4/30,売却,"₱2,318.00",shopee,ORDER0111,フィリピン,buyer_0082,買主サンプル0118,City0118,Region0118,Postal0118,Address line 1 sample 0118,Address line 2 sample 0118,
2026/4/30,20260424_ishida_ph_03,,電化製品,[Direct From Japan]YAMAHA Portable Speaker WS-B1A(B): Bluetooth / Compact / IP67-rated dust and water resistance / Ideal for wet areas and outdoor use / Clear Voice / Black,1,"¥9,980 ",Amazon,,,,,,2026/4/30,売却,"₱6,126.00",shopee,ORDER0112,フィリピン,buyer_0076,買主サンプル0119,City0119,Region0119,Postal0119,Address line 1 sample 0119,Address line 2 sample 0119,
2026/5/1,20260324_machida_ph_03,,ラジコン,Authentic Tamiya 1/10 Electric RC Car Series No.599 RAYBRIG NSX CONCEPT-GT (TT-02 Chassis) On-Road,1,"¥10,560 ",Joshin,,,,,,2026/4/30,売却,"₱7,064.00",shopee,ORDER0113,フィリピン,buyer_0030,買主サンプル0120,City0120,Region0120,Postal0120,Address line 1 sample 0120,Address line 2 sample 0120,
2026/5/1,20260410_miyawaki_ph_01_8,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZE Figure,1,"¥7,500 ",メルカリ,,,,,,2026/4/30,売却,"₱4,823.00",shopee,ORDER0114,フィリピン,buyer_0083,買主サンプル0121,City0121,Region0121,Postal0121,Address line 1 sample 0121,Address line 2 sample 0121,
2026/5/1,20260417_miyawaki_ph_04_5,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,,メルカリ（着払）,,,,,,2026/4/30,売却,"₱8,569.00",shopee,ORDER0115,フィリピン,buyer_0084,買主サンプル0122,City0122,Region0122,Postal0122,Address line 1 sample 0122,Address line 2 sample 0122,
2026/5/1,20260415_miyawaki_ph_03_6,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,100 ",yahooフリマ,,,,,,2026/4/30,売却,"₱4,593.00",shopee,ORDER0115,フィリピン,buyer_0084,買主サンプル0123,City0123,Region0123,Postal0123,Address line 1 sample 0123,Address line 2 sample 0123,
2026/5/4,20260407_machida_ph_07,,フィギュア,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],1,"¥3,570 ",ヨドバシドットコム,,,,,,2026/4/30,売却,"₱2,258.00",shopee,ORDER0116,フィリピン,buyer_0022,買主サンプル0124,City0124,Region0124,Postal0124,Address line 1 sample 0124,Address line 2 sample 0124,
2026/5/1,20260406_mizushima_ph_01,,プラモデル,BANDAI SPIRITS MG 1/100 Gundam Base Limited GM Sniper Custom (Mobile Suit Zeta Gundam Version),1,"¥8,100 ",駿河屋,,,,,,2026/5/1,売却,"₱5,205.00",shopee,ORDER0117,フィリピン,buyer_0085,買主サンプル0125,City0125,Region0125,Postal0125,Address line 1 sample 0125,Address line 2 sample 0125,
2026/5/1,20260410_mizushima_ph_11,,ラジコン,[Tamiya] 1/10 Electric RC Car Series No. 489 4WD Racing Buggy Avante (2011) Electric Radio Control,1,"¥53,900 ",楽天市場（Joshin）,,,,,,2026/5/1,売却,"₱28,028.00",shopee,ORDER0118,フィリピン,buyer_0086,買主サンプル0126,City0126,Region0126,Postal0126,Address line 1 sample 0126,Address line 2 sample 0126,
2026/5/1,20260402_miyawaki_ph_01_5,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Hiei MASTERLIZE Prize C Figure,1,"¥3,100 ",メルカリ,,,,,,2026/5/1,売却,"₱2,383.00",shopee,ORDER0119,フィリピン,buyer_0087,買主サンプル0127,City0127,Region0127,Postal0127,Address line 1 sample 0127,Address line 2 sample 0127,
2026/5/1,20260119_miyawaki_ph_07_4,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,1,"¥6,000 ",メルカリ,,,,,,2026/5/1,売却,"₱4,228.00",shopee,ORDER0120,フィリピン,buyer_0088,買主サンプル0128,City0128,Region0128,Postal0128,Address line 1 sample 0128,Address line 2 sample 0128,
2026/5/1,20260417_sugahara_ph_01,,,Tamiya Star Unit Comical Wheelie Series No. 9 RC Lunchbox Mini (SW-01 Chassis) 57409,1,"¥8,980 ",Joshin,,,,,,2026/5/1,売却,"₱5,536.00",shopee,ORDER0121,フィリピン,buyer_0014,買主サンプル0129,City0129,Region0129,Postal0129,Address line 1 sample 0129,Address line 2 sample 0129,
2026/5/1,20260306_machida_ph_04_2,,ラジコン,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,1,"¥25,800 ",Joshin,,,,,,2026/5/1,売却,"₱13,167.00",shopee,ORDER0122,フィリピン,buyer_0089,買主サンプル0130,City0130,Region0130,Postal0130,Address line 1 sample 0130,Address line 2 sample 0130,
2026/5/4,20260413_ishida_ph_01,,フィギュア,Good Smile Company Nendoroid Teto Kasane 2.0 Non-scale Plastic Painted Movable Figure,1,"¥6,290 ",らしんばん,,,,,,2026/5/1,売却,"₱3,525.00",shopee,ORDER0123,フィリピン,buyer_0089,買主サンプル0131,City0131,Region0131,Postal0131,Address line 1 sample 0131,Address line 2 sample 0131,
2026/5/4,20260424_machida_ph_16,,模型,[Direct From Japan] Takara Tomy (TAKARA TOMY) Plarail S-56 Mickey Mouse Speed Express Train Set – Toy for ages 3 and up,1,"¥1,609 ",Amazon,,,,,,2026/5/1,売却,"₱1,399.00",shopee,ORDER0124,フィリピン,buyer_0089,買主サンプル0132,City0132,Region0132,Postal0132,Address line 1 sample 0132,Address line 2 sample 0132,
2026/5/5,20260420_mizushima_ph_09,,プラモデル,[Gundam Base / Event Exclusive] MG 1/100 Wing Gundam Zero EW [CROSS CONTRAST COLORS / CLEAR PURPLE] Plastic Model Kit (Bandai Spirits),1,"¥8,611 ",駿河屋,,,,,,2026/5/2,売却,"₱5,921.00",shopee,ORDER0125,フィリピン,buyer_0089,買主サンプル0133,City0133,Region0133,Postal0133,Address line 1 sample 0133,Address line 2 sample 0133,
,20260316_machida_ph_02,,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,1,仕入れ無,,,,,,,2026/5/2,売却,"₱6,302.00",shopee,ORDER0126,フィリピン,buyer_0089,買主サンプル0134,City0134,Region0134,Postal0134,Address line 1 sample 0134,Address line 2 sample 0134,
,20260316_machida_ph_02,,,Bandai MG 1/100 Gundam Epyon EW Sturm und Drang Unit Model Kit Gundam W Endless Waltz Gunpla Japan,1,仕入れ無,,,,,,,2026/5/2,売却,"₱6,302.00",shopee,ORDER0127,フィリピン,buyer_0089,買主サンプル0135,City0135,Region0135,Postal0135,Address line 1 sample 0135,Address line 2 sample 0135,
,20260417_miyawaki_ph_04_6,,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,仕入れ無,,,,,,,2026/5/2,売却,"₱8,569.00",shopee,ORDER0128,フィリピン,buyer_0089,買主サンプル0136,City0136,Region0136,Postal0136,Address line 1 sample 0136,Address line 2 sample 0136,
2026/5/4,20260415_miyawaki_ph_03_7,,フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,1,"¥6,500 ",yahooフリマ,,,,,,2026/5/2,売却,"₱4,593.00",shopee,ORDER0129,フィリピン,buyer_0089,買主サンプル0137,City0137,Region0137,Postal0137,Address line 1 sample 0137,Address line 2 sample 0137,
2026/5/4,20260422_ishida_ph_04,,模型,[BANDAI]GODZIBURST Godzilla(1991),1,¥718 ,Amazon,,,,,,2026/5/2,売却,₱506.00,shopee,ORDER0130,フィリピン,buyer_0089,買主サンプル0138,City0138,Region0138,Postal0138,Address line 1 sample 0138,Address line 2 sample 0138,
2026/5/4,20260428_miyawaki_ph_01_1,,フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament vol.3 Kazuma Kuwabara MASTERLIZE Prize B Figure,1,"¥9,900 ",yahooフリマ,,,,,,2026/5/3,売却,"₱6,433.00",shopee,ORDER0131,フィリピン,buyer_0089,買主サンプル0139,City0139,Region0139,Postal0139,Address line 1 sample 0139,Address line 2 sample 0139,
2026/5/4,20260428_machida_ph_04,,ラジコン,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 727 Mitsubishi Pajero (CW-01 Chassis) 58727,1,"¥13,380 ",Joshin,,,,,,2026/5/3,売却,"₱7,987.00",shopee,ORDER0132,フィリピン,buyer_0089,買主サンプル0140,City0140,Region0140,Postal0140,Address line 1 sample 0140,Address line 2 sample 0140,
,20260306_machida_ph_04_3,,,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,1,仕入れ無,,,,,,,2026/5/3,売却,"₱13,167.00",shopee,ORDER0133,フィリピン,buyer_0089,買主サンプル0141,City0141,Region0141,Postal0141,Address line 1 sample 0141,Address line 2 sample 0141,
,20260417_miyawaki_ph_04_6,,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,1,仕入れ無,,,,,,,2026/5/3,売却,"₱8,569.00",shopee,ORDER0134,フィリピン,buyer_0089,買主サンプル0142,City0142,Region0142,Postal0142,Address line 1 sample 0142,Address line 2 sample 0142,
2026/5/4,20260407_machida_ph_07_2,,フィギュア,S.H.Figuarts ONE PIECE Monkey D. Luffy -Dawn of Adventure- Approximately 145mm ABS&PVC painted movable figure [Direct From Japan],1,"¥3,570 ",ヨドバシドットコム,,,,,,2026/5/4,売却,"₱2,258.00",shopee,ORDER0135,フィリピン,buyer_0089,買主サンプル0143,City0143,Region0143,Postal0143,Address line 1 sample 0143,Address line 2 sample 0143,
2026/5/5,20260407_mizushima_ph_02,,プラモデル,BANDAI SPIRITS MG 1/100 Gundam Base Limited Sengoku Astray Gundam [Metallic] Assembly Plastic Model Kit,1,"¥6,890 ",駿河屋,,,,,,2026/5/4,売却,"₱5,194.00",shopee,ORDER0136,フィリピン,buyer_0089,買主サンプル0144,City0144,Region0144,Postal0144,Address line 1 sample 0144,Address line 2 sample 0144,
